metric,arm,auroc
fused_supervised,baseline,0.872979
fused_supervised,arch,0.856275
fused_supervised,cutpaste,0.870959
fused_supervised,arch_cutpaste,0.863824
fused_rank,baseline,0.841958
fused_rank,arch,0.841497
fused_rank,cutpaste,0.824653
fused_rank,arch_cutpaste,0.803961
locfre_b1,baseline,0.783259
locfre_b1,arch,0.784886
locfre_b1,cutpaste,0.792800
locfre_b1,arch_cutpaste,0.789802
locfre_b2,baseline,0.740619
locfre_b2,arch,0.767693
locfre_b2,cutpaste,0.759996
locfre_b2,arch_cutpaste,0.777263
locfre_b3,baseline,0.771029
locfre_b3,arch,0.791608
locfre_b3,cutpaste,0.782531
locfre_b3,arch_cutpaste,0.795179
cutpaste_prob,cutpaste,0.749954
cutpaste_prob,arch_cutpaste,0.673843
ens_energy_gender,baseline,0.811231
ens_energy_gender,arch,0.778715
ens_energy_gender,cutpaste,0.743527
ens_energy_gender,arch_cutpaste,0.712673
unc_epistemic_combined,baseline,0.733634
unc_epistemic_combined,arch,0.739272
unc_epistemic_combined,cutpaste,0.571694
unc_epistemic_combined,arch_cutpaste,0.538698
bias,baseline,0.624633
bias,arch,0.627401
bias,cutpaste,0.621375
bias,arch_cutpaste,0.622794
risk,baseline,0.633896
risk,arch,0.635044
risk,cutpaste,0.629429
risk,arch_cutpaste,0.630441
variance,baseline,0.650998
variance,arch,0.645717
variance,cutpaste,0.645172
variance,arch_cutpaste,0.642545
zscore_risk_aggregated,baseline,0.698819
zscore_risk_aggregated,arch,0.701239
zscore_risk_aggregated,cutpaste,0.699648
zscore_risk_aggregated,arch_cutpaste,0.702862
